City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,Hambantota,6.1241,81.1185,31.19,74,20,7.2,LK,1663502173
315,Leibnitz,46.7816,15.5384,19.41,40,64,0.89,AT,1663502174
316,Boromo,11.75,-2.9333,29.1,65,34,4.09,BF,1663502176
317,Emporia,38.4039,-96.1817,21.93,88,26,7.22,US,1663502177
318,Belyy Yar,53.6039,91.3903,15.94,48,0,2.0,RU,1663502178
319,Kepno,51.2784,17.9891,9.41,89,100,6.33,PL,1663502180
320,Emiliano Zapata,18.8333,-99.1833,17.33,96,100,0.54,MX,1663502181
321,Cooma,-36.2333,149.1333,6.29,75,67,5.13,AU,1663502182
322,New Norfolk,-42.7826,147.0587,10.72,77,99,0.89,AU,1663502184
323,Terney,45.0503,136.6092,16.18,96,86,1.98,RU,1663502185
324,San Ignacio,17.1561,-89.0714,23.08,100,0,0.0,BZ,1663502187
325,Urumqi,43.801,87.6005,22.53,15,0,3.0,CN,1663502188
326,Shingu,33.7333,135.9833,26.77,93,100,7.49,JP,1663502190
327,Thompson,55.7435,-97.8558,11.09,100,100,2.57,CA,1663502192
328,Williams Lake,52.1415,-122.1445,3.76,100,0,1.03,CA,1663502194
329,Prilep,41.3464,21.5544,17.03,46,45,3.71,MK,1663502195
330,Humaita,-7.5061,-63.0208,29.87,56,96,1.44,BR,1663502196
331,Kizilskoye,52.7255,58.8937,21.09,53,78,4.53,RU,1663502198
332,Nha Trang,12.25,109.1833,27.0,89,93,2.86,VN,1663502199
333,Lady Frere,-31.7031,27.2329,20.17,48,98,0.89,ZA,1663502200
334,Razole,16.4833,81.8333,27.95,82,100,2.29,IN,1663502202
335,Denpasar,-8.65,115.2167,26.81,88,20,3.6,ID,1663502203
336,Cobh,51.8572,-8.2992,16.58,48,40,2.06,IE,1663502204
337,Saint-Francois,46.4154,3.9054,15.93,44,0,2.06,FR,1663502206
338,Siocon,7.7061,122.1353,27.11,82,94,1.67,PH,1663502207
339,Saskylakh,71.9167,114.0833,-1.75,90,63,3.12,RU,1663502209
340,Alice Springs,-23.7,133.8833,19.75,28,1,3.6,AU,1663502210
341,Asadabad,34.7824,48.1185,31.97,11,10,0.45,IR,1663502211
342,San Pedro Jocopilas,15.0944,-91.1514,13.86,96,100,1.14,GT,1663502213
343,Nchelenge,-9.3451,28.734,29.27,39,53,4.77,ZM,1663502214
344,Camana,-16.6228,-72.7111,15.56,86,82,4.31,PE,1663502216
345,Padang,-0.9492,100.3543,24.03,90,100,1.4,ID,1663502217
346,Omsukchan,62.5333,155.8,-0.95,71,13,1.22,RU,1663502218
347,Corning,42.1428,-77.0547,19.02,96,54,2.36,US,1663502220
348,Khor,47.8861,134.9464,13.29,85,39,5.63,RU,1663502221
349,Fuyang,32.9,115.8167,25.09,53,4,3.59,CN,1663502223
350,Ranong,9.9658,98.6348,26.96,84,83,5.01,TH,1663502224
351,Ribeira Brava,32.65,-17.0667,25.95,83,11,2.45,PT,1663502225
352,Thunder Bay,48.4001,-89.3168,14.95,100,100,4.63,CA,1663502227
353,Mayumba,-3.432,10.6554,25.51,75,54,2.98,GA,1663502228
354,Mehriz,31.5917,54.4318,33.28,13,16,2.62,IR,1663502230
355,Tashtyp,52.7939,89.8983,9.5,64,0,1.29,RU,1663502231
